TYPE,Grantee Name,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Award Amount,Project Director Full Name,Project Status,Non-Technical Summary,Objectives,Keywords
PROJECT,UNIVERSITY OF MISSOURI SYSTEM,1008901,2016-67030-24953,Novel penetrometer rhizobox system toward high-throughput screening of abiotic stress-tolerant crops,National Institute of Food and Agriculture,NIFA Non Formula,100000.0,"Kim, CH.",ACTIVE,Water deficit and soil compaction significantly affect the root growth which limit crop yield. Studying root responses to various environmental stimuli is challenging due to lack of advanced methods. The overarching goal of this exploratory research is to demonstrate an unprecedented plant monitoring platform toward high-throughput characterization of genetic diversity of an important crop (corn) adopting embedded sensor/actuator and fluidics technology. The specific objective is demonstrating rhizoboxes (root containers) that can analyze the responses of seedling corn roots to controlled water availability and mechanical impedance. We anticipate the outcomes will contribute to improving the agricultural security and sustainability associated with climate changes and environmental conservation.,"Abiotic stresses such as water deficit and mechanical impedance during root growth (e.g. soil compaction) significantly limit crop yields. The overarching goal of this proposal is to demonstrate a new application of fluidics- and sensor/actuator-integrated rhizobox to analyze the responses of seedling plants to abiotic factors, including mechanical, water, salt and temperature stresses. Successful demonstration of this application ensures a wide variety of future research avenues. We anticipate that this phenotyping platform can be applied to many areas of plant research including physiology, metabolism and genetics.","abiotic stress, maize, rhizobox, root, water stress, mechanical stress, penetrometer"
PROJECT,SAES - OHIO STATE UNIVERSITY,1008932,2016-67015-24910,Regulatory T cell Suppressive and Kinomic Properties in Persistent Salmonella Infections of Poultry,National Institute of Food and Agriculture,NIFA Non Formula,440000.0,"Selvaraj, RA, K.",ACTIVE,"Salmonella remains a challenging disease to control because of persistence in poultry species. This project will comparatively analyze the effect of two serovars of Salmonella infection on chicken regulatory T cells (Tregs), the role of these Tregs on suppressing other components of immune cells, and the molecular kinomic and metabolomics pathways through which a persistent Salmonella infection alters Treg functions.Tregs specialize in immune suppression, and several bacterial pathogens, especially mucosal bacteria, have evolved to escape host immune responses by activating Tregs. We previously identified CD4+CD25+ cells as Tregs in chickens. Our preliminary study identified that a Salmonella infection induced dysregulation in Treg percentage, Treg suppressive properties, and kinomic profiles at the local site of Salmonella colonization, namely the cecal tonsils.We hypothesize that a Salmonella infection causes metabolic reprogramming and kinomic changes in host Tregs to induce host immune suppression and Salmonella pathogen persistence. Through the specific aims, we will determine the effects of S. enterica serovarEnteritidis and serovar Heidelberg infections on Treg properties and quantify interactions between Tregs and CD4+, CD8+, macrophages, and B cells and determine the kinomic and metabolic pathways through which Salmonella reprograms and regulate Treg properties.We expect to establish the time course and kinetics of Treg suppressive effects and kinomic dysregulation and the absolute magnitude for these changes at the local site of bacterial replication during Salmonella infections. Our long term goal is to develop novel strategies for Salmonella infection prevention and control by targeting Tregs.",Aim 1: Quantify the effect of S. enterica serovarHeidelberg and serovar Enteritidis infections on Treg properties in chickensAim 2: Determine the effect of S. enterica serovarHeidelberg and serovar Enteritidis infections on interactions between Tregs and other immune cellsAim 3: Determine the molecular metabolomic and kinomic pathways through which Salmonella infection regulates Treg development,"salmonella, Kinomics, Tregs"
PROJECT,SAES – TEXAS A&M UNIVERSITY,1008944,2016-67015-24923,A Host-Pathogen Approach to GWAS for Enhanced Resistance to Bacterial Mastitis in Dairy Cattle,National Institute of Food and Agriculture,NIFA Non Formula,450000.0,"Seabury, CH.",ACTIVE,"The primary goal of this project is to identify naturally occurring genetic variation that is either statistically predictive and/or causal for improved resistance to clinical mastitis in commercial U.S. dairy cows. Clinical mastitis is characterized by abnormalities in the milk or udder of dairy cows, which negatively impacts dairy production, thereby triggering economic losses, and diminished food security. Herein, we focus on clinical mastitis that is caused by Escherichia coli, with E. coli often being the most commonly isolated bacterial organism observed among U.S. dairy cows that experience single or recurring episodes of clinical mastitis. Relevant economic losses in the U.S. have been reported to exceed 700 pounds of saleable milk for a single cow experiencing clinical mastitis, which would include direct production losses, or the withholding of drug contaminated milk (i.e., therapeutic treatment) from the market. To reduce national dependence on therapeutic agents (i.e., antibiotics, anti-inflammatory drugs) while also enhancing dairy production, we take a novel approach which seeks to define natural genetic variation among U.S. production dairy cows and their E. coli clinical mastitis isolates that either jointly or independently enhance the risk of disease. At present, genetic data are already heavily utilized for accurately predicting many dairy production traits in the U.S., and form the basis for modern selective breeding programs (i.e., genomic selection). Information regarding naturally occurring genetic variants among U.S. dairy cows and E. coli bacterial isolates that enhance risk for clinical mastitis will be incorporated into existing U.S. dairy prediction and selective breeding programs. Selective breeding of more resistant U.S. dairy cows is ultimately the most sustainable approach to reducing disease incidence and associated production losses, as these cows will possess superior production efficiency, require less handling, experience improved animal welfare, require decreased use of therapeutic agents (i.e., antibiotics, anti-inflammatory drugs) and are ultimately the most profitable.","The primary research objective of this project is to identify bovine genetic variation associated with enhanced risk of E. coli CM in U.S. Holstein dairy cattle, and to use this information to foster the deployment of SNP-based selection tools that identify dairy cattle with reduced susceptibility. To increase the precision and likelihood of detecting associations with susceptibility, we will focus on the lifetime clinical mastitis distribution for a single bacterial pathogen (E. coli), thus creating a very precise animal disease phenotype. Moreover, genome sequencing data generated from the diagnostic isolates that define each E. coli CM case will also be used in a mixed-model approach to estimate the joint effects and/or interactions related to both host and pathogen genomic variation with respect to risk for recurrent E. coli CM in dairy cattle. Completion of these objectives will positively augment modern on-farm prevention and control measures, and therefore, is expected to allow for a significant reduction in recurrent E. coli CM among dairy cattle. To achieve our overarching primary research objective, we will employ the following specific objectives:Use &gt; 9,000 precisely documented Holstein dairy cows from commercial NY dairies to define the extremes (i.e. tails) of the lifetime E. coli clinical mastitis distribution andselect cows from each extreme (i.e. multiple E. coli CM cases and controls with zero lifetime CM). To increase our sample size, we will also use these data to match single E. coli CM case cows and zero lifetime CM controls by lactation, age, and herd.Holstein cows with one or more (i.e. recurrent) episodes of diagnostically confirmed E. coli CM will be selected as ""cases"", with enrollment priority given to cows with &ge; 2 confirmed E. coli CM episodes. A CM severity score will also be assigned to case cows (see approach). Precisely monitored cows matched by lactation, age, and herd that display no lifetime evidence of CM will be selected as ""controls."" The ratio of controls to cases will be &gt; 1:1 (n = 500 controls and 300 cases), which is determined by the prevalence of single and repeat E. coli CM cases prior to and across the award period.E. coligenomes representing the diagnostic isolates recovered from CM case cows will be sequenced to &ge; 40X average coverage using standard paired-end libraries applied to an Illumina HiSeq 2500 to facilitate E. coli strain classification, and to elucidate genome-wide information regarding strain-specific variation.All cows will be genotyped using the Illumina GGP-HD 135K assay and imputed to 778K density. Bovine 778K genotypes and E. coli variation will be bioinformatically joined for use in a novel genome-wide association analysis (GBLUP; EMMAX; Bayesian Models) that accounts for E. coli strain and/or polymorphism information with respect to risk for E. coli CM episodes and clinical severity (see approach) while also correcting for any pedigree-based stratification among the cows.Bovine and/or E. coli markers which are statistically predictive for risk of E. coli CM in Holstein dairy cows will be transferred to the stakeholders in a format that is cost-effective, efficient, and readily incorporated within other ongoing efforts to employ genomic selection in beef and dairy cattle (BRD-CAP Project; Bovine Feed Efficiency Project; Heifer Fertility Project; Bovine Functional Assay Project; Dairy Fertility Project).","dairy cattle, e. coli, mastitis, Animal Breeding and Genetics, Genome-Wide Association"
PROJECT,SAES - WEST VIRGINIA UNIVERSITY,1008949,2016-67015-24919,Role of a novel oocyte-specific KRAB-containing zinc finger transcriptional regulator in early embryonic dev. in cattle,National Institute of Food and Agriculture,NIFA Non Formula,460000.0,"Yao, JI.",ACTIVE,"Early embryonic loss is a major contributing factor to infertility in livestock species. The factors responsible for poor conception rates and embryonic loss in cattle are complex and not completely understood. A growing body of evidence indicates that oocyte quality is a key factor limiting successful embryonic development following fertilization. The major goal of this project is to understand the functional contribution of a newly discovered oocyte-specific gene (ZNFO) to early embryonic development in cattle. In the project, a variety of cutting-edge molecular and embryological techniques will be used to identify the target genes regulated by ZNFO protein and the cellular proteins interacting with ZNFO protein, and elucidate the regulatory role of ZNFO in oocyte maturation, fertilization and developmental events of early embryos. The study will provide new knowledge that may ultimately improve bovine reproduction and nuclear transfer through better understanding of the functional role of a novel oocyte-specific factor in cattle.","The major goal of this project is to increase our understanding of the functional contribution of a novel oocyte-specific gene (ZNFO) to early embryonic development in an effort to enhance reproductive efficiency in beef and dairy cattle. Specific aims of the project are: 1) to investigate the DNA binding properties of ZNFO and identify its potential target gene, 2) to identify cellular proteins that interact with ZNFO protein and mediate its function, and 3) to elucidate the influence of ZNFO on meiotic maturation, fertilization, cleavage and developmental events characteristic of the maternal-to-embryonic transition and subsequent early embryonic development.","embryogenesis, oocyte, transcription factor, KRAB, zinc finger"
PROJECT,1890 - ALABAMA A&M UNIVERSITY,1008951,2016-67016-24945,Poultry models in ghrelin research,National Institute of Food and Agriculture,NIFA Non Formula,149931.0,"Vizcarra, JO, A.",ACTIVE,"Poultry is a common domestic species that plays an important role in agriculture by generating over 35 billion dollars per year. However, rapid growth rate in broilers is known to be associated with pulmonary hypertension syndrome (ascites). Ascites causes substantial economic losses due to mortality and condemnation in poultry. Most economical feasible treatments used to reverse ascites are in direct conflict with normal management practices (i.e. feed restriction). Thus, there is a need to develop new methods to prevent ascites. In the absence of such methods, the developments of effective interventions strategies to address this health problem will likely remain problematic. The long-term goal in our research program is to develop and implement effective interventions that will improve the health of poultry, especially those that are susceptible to ascites. The overall objective of this particular application, which is the next step toward attainment of our long-term goal, is to determine the contribution of ghrelin in the development of ascites in broilers. Our central hypothesis is that ghrelin is a key hormone involved in feed intake, energy homeostasis, and cardiovascular function in birds. Using complementary experimental strategies that have been validated in our laboratories, we intend to down- and up-regulate the activity of ghrelin We also propose to use non-invasive method, such as mild hypothermia, and feed restriction to modify the incidence of ascites in broilers. The expected outcome of this proposal is to improve the therapies that significantly impact animal health and the sustainability and competitiveness of U.S. agriculture.","The long-term goal in our research program is to develop and implement effective interventions that will improve the health of poultry, especially those that are susceptible to pulmonary hypertension (PH). The overall objective of this particular grant, which is the next step toward attainment of our long-term goal, is to evaluate the best alternative to up-regulate ghrelin in broilers. Our central hypothesis is that ghrelin is a key hormone involved in feed intake, energy homeostasis, and cardiovascular function in birds. We also hypothesize that rapid growth in poultry is associated with changes in endogenous ghrelin concentrations that leads to PH. Our preliminary data and earlier published reports strongly suggest a link between ghrelin, fed intake, and energy homeostasis in birds. There is, therefore, a critical need to determine the underlying effect of ghrelin in the development of PH in chickens. For this study we will target broilers, a bird with known susceptibility to this significant health problem. In the long-run we intend to down- and up-regulate the activity of ghrelin, and use non-invasive method, such as mild hypothermia and feed restriction, to modify the incidence of PH in broilers. For this particular grant, we plan to objectively test two different approaches to up-regulate ghrelin and, thereby, gain the necessary knowledge to attain our goals by pursuing the following objectives:Objective 1: To evaluate the effect of exogenous ghrelin on feed intake, glucose, and corticosterone concentrations in broilers.Objective 2: To establish a gene transfer poultry model to up-regulate the expression of ghrelin in broilers.The innovative concept described in this proposal is the establishment of an animal model to up-regulate ghrelin in male broilers. The successful completion of these preliminary studies will give us the additional tool needed to continue with our long term goal.","animal models, ghrelin"
PROJECT,SAES – TEXAS A&M UNIVERSITY,1008956,2016-67015-24918,Towards novel acaricide development against cattle fever tick: GPCR target validation and identification of chemical leads,National Institute of Food and Agriculture,NIFA Non Formula,500000.0,"Pietrantonio, PA.",ACTIVE,"The ""cattle fever tick"" or ""Southern cattle tick"" is the most economically damaging tick for cattle worldwide. All developmental stages of the tick from larvae to adult feed on a single host animal, preferentially cattle. The tick creates a wound to blood feed and damages the animal hides, decreasing their value. Most importantly, during blood-feeding the tick can acquire or transmit microorganisms that cause the cattle diseases babesiosis and anaplasmosis that are highly lethal to cattle. These disease-causing microorganisms can be transferred to tick eggs inside the female tick, therefore, tick larvae born from the infected eggs can transmit the microorganism to new cattle hosts, continuing the cycle of disease transmission. There are no vaccines available in the US against these diseases. Cattle producers use chemical pesticides called acaricides to control tick populations, but many of these populations have developed acaricide resistance, surviving pesticide applications. Acaricide resistance is widespread in Mexico, and despite strict inspection and treatment of cattle at the US-Mexico border, incoming tick populations are a constant threat to the US cattle industry. Live cattle and wild animals, such as white tail deer, can carry live ticks across our southern US border. There is an urgent need to develop new acaricides for tick control and this project addresses this need to improve animal production and health.This research aims to find new chemicals (natural or synthetic) to kill these ticks in novel, selective manners. To do this, we will identify tick proteins belonging to a protein superfamily known as G protein-coupled receptors. Identification of these proteins is valuable for two main reasons: 1) they are thought to be critical for tick survival and, 2) their function can be disrupted by application of a foreign natural or synthetic molecule. We will use a molecular genetics technique called ""gene silencing"" to knock out or eliminate the ability of these receptors to perform their normal function in the tick. It is expected that the lost function of these receptor proteins will interfere with the survival or reproduction of the ticks providing new knowledge on tick physiology. We will select the receptors that are most critical for tick survival and thus are good candidates for disruption. We will also screen chemicals to identify those that disrupt the function of the selected receptors to reduce survival and/or reproduction of the ticks. Chemicals that succeed in disrupting tick receptor protein function will form the basis for development of new acaricides urgently needed for tick control.","Significance of the overall Goal: The ""cattle fever tick"" or ""Southern cattle tick"" is the most economically damaging tick for cattle worldwide. All developmental stages of the tick from larvae to adult feed on a single host animal, preferentially cattle. The tick creates a wound to blood feed and damages the animal hides, decreasing their value. Most importantly, during blood-feeding the tick can acquire or transmit microorganisms that cause the cattle diseases babesiosis and anaplasmosis that are highly lethal to cattle. These disease-causing microorganisms can be transferred to tick eggs inside the female tick, therefore, tick larvae born from the infected eggs can transmit the microorganism to new cattle hosts, continuing the cycle of disease transmission. There are no vaccines available in the US against these diseases. Cattle producers use chemical pesticides called acaricides to control tick populations, but many of these populations have developed acaricide resistance, surviving pesticide applications. Acaricide resistance is widespread in Mexico, and despite strict inspection and treatment of cattle at the US-Mexico border, incoming tick populations are a constant threat to the US cattle industry. Live cattle and wild animals, such as white tail deer, can carry live ticks across our southern US border. There is an urgent need to develop new acaricides for tick control and this project addresses this need to improve animal production and health.Overall goal The goal is to validate targets in the tick that could both inform the physiology of the tick advancing parasitology and serve as targets for interventions such as discovery of natural compounds targeting these receptors or synthetic lead chemicals. The goal is to find selective targets for interventions, those that are either not present in mammals or those for which high selectivity or specificity can be achieved to eliminate non-target effects.Our working hypothesis is that G protein-coupled receptors are suitable targets for the development of novel acaricides, vaccines, and/or insecticides. GPCRs are the most successful target of the pharmaceutical industry because they are ""drugable targets"" and are currently unexploited targets for arthropod control. A novel approach for targeting water balance in ticks is investigated. For selectivity, we chose receptors not present in mammals or those for trace amines in mammals.Specific ObjectivesPharmacological profiling and peptidomimetics design: the pharmacological profile of G protein-coupled receptors for biogenic amines (tyramine/octopamine) and small neuropeptides that putatively function in tick water balance will be determined with endogenous and synthetic ligands. This involves the design of more stable and potent peptide analogs based on these structure-activity relationship studies. Screen small chemical libraries to identify lead agonist or antagonist structures.Physiological target validation of receptors in Obj. 1: Receptors for tyramine/octopamine, kinin and periviscerokinin will be silenced in adult ticks through RNA interference.Chemical target validation and chemical screens: Active synthetic molecules in Obj. 1 and others (terpenoid library, guanidinium library, etc.) will be used for validation in vivo to determine their utility as chemical leads. This will be done by bioassays with ticks in the laboratory.","disease prevention, Cattle fever tick, Cell, G protein-coupled receptors, RNAi phenotype, Tick control"
PROJECT,"PENNSYLVANIA STATE UNIVERSITY, THE",1008968,2016-67015-24900,Intercellular Communication in the Corpus Luteum,National Institute of Food and Agriculture,NIFA Non Formula,460000.0,"Pate, JO, LE.",ACTIVE,"Successful reproduction is essential for milk production and for generating replacement animals for dairy herds. However, there has been a gradual decline in reproductive efficiency of dairy cows, resulting in substantial economic loss to farmers. Most failed pregnancies are due to embryonic death, which could be due to inadequate function of the corpus luteum (CL). The CL is a structure on the ovary that secretes progesterone, which is essential for survival of the embryo. The long term goal of this research program is to increase understanding of the function of the bovine corpus luteum (CL). Immune cells are present in the CL and serve as local regulators of the function of the CL, but very little is known about the types of communication that occur between the progesterone-producing cells and the immune cells. The global hypothesis to be addressed is that the progesterone-producing cells in the CL communicate with the resident immune cells via secretion of microscopic (extracellular) vesicles, which transfer proteins and nucleic acids directly to the immune cells, thus programming the functional capabilities of the resident immune cells. To test this hypothesis, cells from the CL will be cultured and the secreted extracellular vesicles will be isolated from the culture medium. The vesicles will be used to treat immune cells, and the effect of the vesicles on immune cell functions, including gene and protein expression, will be determined. Further, we will determine if regulation of the immune cells by the vesicles is altered during the early stages of pregnancy. Finally, the protein and nucleic acid content of the vesicles will be defined in an effort to identify the molecules that regulate immune cell function. It is expected that these molecules will differ in cells from pregnant compared to nonpregnant cows. These will be the first reports of how the hormone-producing cells within the CL communicate with immune cells to regulate the overall function of the tissue. Understanding how immune cells that populate the CL are regulated could ultimately lead to new methods to enhance reproductive efficiency of dairy cows and lower the costs of food production.","The long term goal of this research is to increase our understanding of the function of the bovine corpus luteum (CL) to enhance reproductive efficiency of dairy cattle. The decline in reproductive efficiency of dairy cows is well-documented (Lucy, 2001) and results in substantial economic loss within the agricultural industry each year. Because fertilization rates are generally high (90-95%), the loss in reproductive performance is primarily due to inadequate function of the corpus luteum, early embryo death, or failure of the embryo to prevent luteolysis and develop a placenta. Inskeep and Dailey (2005) have estimated that 73% of reproductive loss in dairy cattle is due to embryonic loss, with 57% occurring before the onset of placentation. Progesterone production by the corpus luteum is essential for the establishment of pregnancy in all mammals. Therefore, understanding the mechanisms that regulate luteal development and survival will lead to enhanced reproductive efficiency and lower the costs of food production.A focus of our research has been to understand the regulatory interactions that exist between parenchymal (steroidogenic and endothelial) cells and immune cells that result in normal luteal function. Compelling evidence exists that immune cells and the cytokines they produce regulate luteal function and facilitate luteolysis. However, immune cells, and all components necessary to activate those cells, are present within luteal tissue long before the onset of luteolysis. New ideas about the roles of resident immune cells as regulators of normal tissue homeostasis are emerging, but have been largely overlooked in studies of ovarian biology. We have demonstrated that luteal cells are potent activators of T cells in vitro. Recently, we discovered that the type of communication between luteal steroidogenic cells and immune cells changes with functional status of the CL. Luteal cells from mature, fully functional CL can activate T cells (TC) regardless of cell-cell contact, implying that signaling involves a secreted substance(s). In contrast, luteal cells obtained from regressing CL require cell-cell contact to fully activate TC. Given our results and other recent advances in knowledge of lymphocyte biology and cell-cell communication, the global hypothesis to be addressed by the proposed research is that steroidogenic cells from functional CL exert influences on resident immune cells via secretion of extracellular vesicles (exosomes and microvesicles), which transfer proteins and nucleotides directly to immune cells (IC), thus programming the functional capabilities of resident IC.Objectives:Determine how extracellular vesicles released from steroidogenic luteal cells alter phenotype and function of immune cells.Evaluate effects of estrous cycle stage and pregnancy status on extracellular vesicle-induced changes in immune cells.Determine the effects of estrous cycle stage and pregnancy status on protein and nucleic acid content of luteal cell-derived extracellular vesicles.Identify proteins and/or nucleic acids responsible for the luteal cell-induced changes in immune cells.","bovine, corpus luteum, cow, fertility, Extracellular Vesicles, Exosomes, T lymphocytes"
PROJECT,SAES - NORTH DAKOTA STATE UNIVERSITY,1008975,2016-67016-24884,The Role of Giant Trophoblast Cells in Placental Function in Ewes,National Institute of Food and Agriculture,NIFA Non Formula,150000.0,"Vonnahme, KI, A.",ACTIVE,"Birth weight is a strong predictor for how well animals will grow after birth. One of the main factors that impact birth weight, is the function of the placenta. The placenta is important to the growth of the fetus as it delivers all of the nutrients (including things such as glucose, amino acids, and oxygen) that are required for proper development. One big predictor in the placenta&#39;s ability to deliver these nutrients is uterine and umbilical blood flow. Our laboratory has demonstrated that nutrient restriction reduces umbilical blood flow and the lambs are decreased in weight near the end of pregnancy compared to adequately fed control ewes. We have also noticed that if we investigate the arteries that supply the placenta from the restricted ewes, they have even greater potential to dilate (thus deliver more flow) if they are provided with a substance that stimulate blood vessels to dilate. This leads us to think that the placenta is not making enough of factors that cause dilation. Recently in human and rodent placentas, they have noticed that a special cell type in the placenta, called trophoblastic giant cells (TGCs) are making factors that cause dilation. Our hypothesis is that during nutrient restriction, TGCs may be decreased in number, or their ability to produce factors that can cause blood vessels to dilate and grow will be reduced compared to adequately fed ewes. Our specific aims are: Specific Aim I. To determine how duration and timing of nutrient restriction impacts umbilical blood flow during pregnancy; Specific Aim II. To determine if maternal diet and stage of pregnancy impact the number of TGCs as well as to discover factors that aid in vessel function. We believe that we will discover that restricted ewes that are refed will have increased numbers of TGCs and they will produce more factors that promote blood flow. The anticipated impact is that we will use this information to fill critical knowledge gaps in placental function and pregnancy.","Trophoblastic giant cells (TGCs) in rat and human placentas appear to contribute to the overall function of the placenta and potentially nutrient transport. We have demonstrated that maternal responses to varying levels of nutrition alter uterine and umbilical blood flows, as well as placental arteriole vascular responsiveness. While it appears that overall capillary density is not impacted by maternal diet, differences in placental function must occur to elicit these other responses. The overall hypothesis is that TGCs (also called binucleate cells) from ovine placentas contribute to overall placental function, namely in allowing the placenta to be more efficient in nutrient delivery. We have previously demonstrated that nutrient restriction reduced umbilical blood flow in ewes. We are unaware of any published data on what effect realimentation will have on umbilical blood flow in the ewe, but we have previously reported that cotyledonary endothelial nitric oxide synthase (eNOS) mRNA expression is increased upon realimentation. The specific hypothesis is that realimentation will cause umbilical blood flow to return to levels similar to ewes that never experienced nutrient restriction, and the ability to achieve normal levels of umbilical blood flow is driven by angiogenic/vasoactive factors being produced by TGCs. Our goal is to quantify TGCs and vasoactive factors that they produce during an adquate and restricted fed state. There are 2 specific aims for this Seed Grant:Specific Aim I. To determine how duration and timing of nutrient restriction impacts umbilical blood flow during pregnancySpecific Aim II. To determine if maternal diet and stage of pregnancy impacts the number of TGCs as well as VEGF and eNOS protein expression in isolated TGCs","angiogenesis, ewe, pregnancy, Placentome, trophoblastic giant cells"
PROJECT,EXT - WASHINGTON STATE UNIVERSITY EXTENSION,1008987,2016-67007-24889,Catalyzing and coordinating Northwest agricultural research and extension efforts for food security in a changing climate,National Institute of Food and Agriculture,NIFA Non Formula,40000.0,"Kruger, CH, E.",ACTIVE,"This conference proposal focuses on agricultural climate adaptation strategies for the US Northwest as part of a national strategy to improve food security. This conference will catalyze and coordinate regional research efforts to improve understanding of important climate-change related vulnerabilities, and extension efforts needed to support successful producer adaptation.The conference is relevant to the goals of AFRI Food Security Challenge Area because it supports regional efforts to increase the resilience and sustainability of agricultural productivity in light of projected future changes. It will highlight areas for public sector scientific investment with the greatest potential impact on agricultural productivity and food security. This will help the changing landscape of US Northwest agriculture contribute to meeting national food, feed, fiber, and biofuel needs while enhancing environmental quality and the resource base, sustaining the economic viability of regional agriculture, and enhancing the quality of life for those in the agricultural sector.The Objectives of the conference are to:Identify critical knowledge gaps in adapting agriculture in the US Northwest to climate change (Determine top issues, summarize existing research, find gap areas, identify target stakeholders for each, identify possible project leaders/teams) Improve coordination, utility, infrastructure, and usefulness of climate decision-support tools that exist or are being generated or envisioned for the region; andProduce a white paper that provides a concrete roadmap to guide regional efforts in the context of emerging national strategies to address knowledge gaps and provide useful decision support tools for climate change adaptation.","The ultimate goal of the conference is to act as a catalyst for research efforts that will improve understanding of important climate-change related vulnerabilities, and the extension efforts needed to help producers adapt to meet these challenges. These will contribute over time to increasing the resilience and sustainability of the US Northwest&#39;s agricultural production and food systems in light of anticipated future changes. Specific objectives of the conference include:Identify critical knowledge gaps in adapting agriculture in the US Northwest to climate change (Determine top issues, summarize existing research, find gap areas, identify target stakeholders for each, identify possible project leaders/teams)Improve coordination, utility, infrastructure, and usefulness of climate decision-support tools that exist or are being generated or envisioned for the region; andProduce a white paper that provides a concrete roadmap to guide regional efforts in the context of emerging national strategies to address knowledge gaps and provide useful decision support tools for climate change adaptation.","adaptation, climate change, conference, decision support system"
PROJECT,WICHITA STATE UNIVERSITY,1009012,2016-67013-24930,Integrating Modeling and Field Experiments to Guide Weed Management in Rangeland Systems,National Institute of Food and Agriculture,NIFA Non Formula,430882.0,"Houseman, GR, RU.",ACTIVE," A primary threat to ranching systems in the Midwest is invasion by Sericea Lespedeza (Lespedeza Cuneata) which strongly reduces native forage and leads to high economic loss if left unchecked. The plant is a perennial with a long-lived seed bank and spreads by wind, animals, and human activities. Consequently, this weed can quickly become a long-term problem typically leading to increasing control costs with time. Once established, the only tool to control Sericea is herbicide application which can add substantially to operational costs because of the expenses of locating and treating Serica patches scattered over large landscapes. The problem for ranchers is to determine the most cost-effective way to control this weedy invader in rangelands. Because of the large seedbank that develops, effective short-term control many not be the most effective approach over many years. For this reason, we have developed a preliminary bioeconomic model to examine both short and long-term consequences of different treatment approaches. This analysis suggested that that a three-year application strategy is the most cost-effective approach. However that model is relies on the limited data that is currently available, which is often not from grazed systems. Further, there is no verification that these intial predictions are reliable because no field tests have been conducted. In this project, we use experimental plots on several ranches in southeast Kansas to test some of the basic predictions of the preliminary model and further refine the model to account for differences in soil fertility, landscape heterogeneity and invader spread. Additionally, we will use experiments to determine the effectiveness of different search strategies and develop an additional component of the model to quantify whether investment in searching for new plants or herbiciding known patches yields greater long-term control of the invader. Importantly, the models will include the economic costs associated with the weed control approaches utilized and impacts on potential revenue. These results will be integrated into a web-based tool that will allow ranchers and weed control professionals to input information from their particular ranch and obtain the most cost-effective solution for Sericea control on their land. This project will also serve as a test case to illustrate how field-based optimization models can be efficiently developed for weed management problems in other systems."," Within the ""Controlling Weedy and Invasive Plants"" Priority Area, our project explicitly addresses the current issue: ""Other ecological or evolutionary studies that would inform weed management strategies, including links between agronomic practices and weed problems"" as stated in the RFA. Current recommendations for controlling Sericea come from a piecemeal set of studies representing disparate systems and have virtually no evidence-based analysis of the economic best-practices. Our project will provide a new level understanding built on the insight and analysis from an integrated team of ranchers, weed ecologists, and modelers using state-of-the-art approaches in a realistic context. To do this, we focus on two major goals:Goal A: Utilize empirical data and models to understand how the biological characteristics may provide new ways to control Sericea in grazed systems.Objectives:1. QuantifySericea population growth, spread, and response to herbicide on several ranches in the Great Plains.2. Quantify how soil fertility influences herbicide effectiveness.3. Quantify Sericea detection and treatment probabilities.Goal B: Validate and refine a preliminary bioeconomic model using field data that accounts for critical species information and economic realities for weed management of Sericea in grazing systems.Objectives:1. Test the predictions of the preliminary model on these ranches in response to different rotational herbicide strategies.2. Refine the bio-economic model by addressing the inevitable shortcomings of the preliminary model to more accurately quantify how the investment in weed control influences potential profits over the long-term.3. Develop an integrated search and control model based on empirical data to determine how investment in search effort (likelihood of detection) or control practices (herbicide application) contributes to long-term control and profitability of grazing lands.4. Evaluate the effectiveness of the optimization model strategy to combat ongoing or emerging weed management problems. Using Sericea as a case study, we will examine how to effectively develop a team of ranchers, weed ecologists and modelers to efficiently and effectively generate economic and ecological forecasts that will guide land management decisions.5. Develop a web-based decision-tree tool that landowners can use to forecast how investment in control strategies and methodologies are expected to impact long-term control and profitability.","detection, invasion, rangeland, spatio-temporal, weed management, Bioeconomic model, Sericea"
